House Vote #564 2014-12-11T21:49:00 - H.R. 5699 (113th): John Muir National Historic Site Expansion Act
person,state,district,vote,name,party
412394,AL,2,Yea,"Rep. Martha Roby [R, 2011-2016]",Republican
412395,AL,5,Yea,"Rep. Mo Brooks [R, 2011-2016]",Republican
412396,AL,7,Yea,"Rep. Terri Sewell [D, 2011-2016]",Democrat
412397,AZ,4,Yea,"Rep. Paul Gosar [R, 2013-2016]",Republican
412399,AZ,6,Yea,"Rep. David Schweikert [R, 2013-2016]",Republican
412400,AR,1,Yea,"Rep. Eric “Rick” Crawford [R, 2011-2016]",Republican
412401,AR,2,Yea,"Rep. Tim Griffin [R, 2011-2014]",Republican
412402,AR,3,Yea,"Rep. Steve Womack [R, 2011-2016]",Republican
412403,CA,10,Nay,"Rep. Jeff Denham [R, 2013-2016]",Republican
412404,CA,37,Yea,"Rep. Karen Bass [D, 2013-2016]",Democrat
412405,CO,3,Yea,"Rep. Scott Tipton [R, 2011-2016]",Republican
412406,CO,4,Yea,"Rep. Cory Gardner [R, 2011-2014]",Republican
412407,DE,0,Yea,"Rep. John Carney [D, 2011-2016]",Democrat
412408,FL,2,Yea,"Rep. Steve Southerland [R, 2011-2014]",Republican
412409,FL,11,Nay,"Rep. Richard Nugent [R, 2013-2016]",Republican
412410,FL,10,Yea,"Rep. Daniel Webster [R, 2013-2016]",Republican
412411,FL,15,Nay,"Rep. Dennis Ross [R, 2013-2016]",Republican
412412,FL,24,Yea,"Rep. Frederica Wilson [D, 2013-2016]",Democrat
412416,GA,7,Nay,"Rep. Rob Woodall [R, 2011-2016]",Republican
412417,GA,8,Yea,"Rep. Austin Scott [R, 2011-2016]",Republican
412418,HI,1,Yea,"Rep. Colleen Hanabusa [D, 2011-2014]",Democrat
412419,ID,1,Nay,"Rep. Raúl Labrador [R, 2011-2016]",Republican
412421,IL,16,Yea,"Rep. Adam Kinzinger [R, 2013-2016]",Republican
412422,IL,14,Yea,"Rep. Randy Hultgren [R, 2011-2016]",Republican
412426,IN,4,Not Voting,"Rep. Todd Rokita [R, 2011-2016]",Republican
412427,IN,8,Yea,"Rep. Larry Bucshon [R, 2011-2016]",Republican
412428,IN,9,Yea,"Rep. Todd Young [R, 2011-2016]",Republican
412429,KS,1,Nay,"Rep. Tim Huelskamp [R, 2011-2016]",Republican
412430,KS,3,Yea,"Rep. Kevin Yoder [R, 2011-2016]",Republican
412431,KS,4,Yea,"Rep. Mike Pompeo [R, 2011-2016]",Republican
412432,LA,2,Yea,"Rep. Cedric Richmond [D, 2011-2016]",Democrat
412434,MD,1,Nay,"Rep. Andy Harris [R, 2011-2016]",Republican
412435,MA,9,Not Voting,"Rep. William Keating [D, 2013-2016]",Democrat
412436,MI,1,Yea,"Rep. Dan Benishek [R, 2011-2016]",Republican
412437,MI,2,Yea,"Rep. Bill Huizenga [R, 2011-2016]",Republican
412438,MI,3,Nay,"Rep. Justin Amash [R, 2011-2016]",Republican
412442,MS,1,Yea,"Rep. Alan Nunnelee [R, 2011-2015]",Republican
412443,MS,4,Nay,"Rep. Steven Palazzo [R, 2011-2016]",Republican
412444,MO,4,Yea,"Rep. Vicky Hartzler [R, 2011-2016]",Republican
412445,MO,7,Yea,"Rep. Billy Long [R, 2011-2016]",Republican
412446,NV,3,Yea,"Rep. Joseph Heck [R, 2011-2016]",Republican
412449,NJ,3,Yea,"Rep. Jon Runyan [R, 2011-2014]",Republican
412451,NY,11,Yea,"Rep. Michael Grimm [R, 2013-2014]",Republican
412453,NY,19,Yea,"Rep. Christopher Gibson [R, 2013-2016]",Republican
412454,NY,22,Yea,"Rep. Richard Hanna [R, 2013-2016]",Republican
412457,NC,2,Yea,"Rep. Renee Ellmers [R, 2011-2016]",Republican
412460,OH,6,Yea,"Rep. Bill Johnson [R, 2011-2016]",Republican
412461,OH,15,Not Voting,"Rep. Steve Stivers [R, 2011-2016]",Republican
412462,OH,16,Yea,"Rep. James Renacci [R, 2011-2016]",Republican
412463,OH,7,Nay,"Rep. Bob Gibbs [R, 2013-2016]",Republican
412464,OK,5,Yea,"Rep. James Lankford [R, 2011-2014]",Republican
412465,PA,3,Yea,"Rep. Mike Kelly [R, 2011-2016]",Republican
412466,PA,7,Yea,"Rep. Patrick Meehan [R, 2011-2016]",Republican
412468,PA,10,Yea,"Rep. Tom Marino [R, 2011-2016]",Republican
412469,PA,11,Yea,"Rep. Lou Barletta [R, 2011-2016]",Republican
412470,RI,1,Yea,"Rep. David Cicilline [D, 2011-2016]",Democrat
412472,SC,3,Yea,"Rep. Jeff Duncan [R, 2011-2016]",Republican
412473,SC,4,Yea,"Rep. Trey Gowdy [R, 2011-2016]",Republican
412474,SC,5,Yea,"Rep. Mick Mulvaney [R, 2011-2016]",Republican
412475,SD,0,Not Voting,"Rep. Kristi Noem [R, 2011-2016]",Republican
412476,TN,3,Yea,"Rep. Charles “Chuck” Fleischmann [R, 2011-2016]",Republican
412477,TN,4,Nay,"Rep. Scott DesJarlais [R, 2011-2016]",Republican
412478,TN,6,Not Voting,"Rep. Diane Black [R, 2011-2016]",Republican
